tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,15414.322400,4.458157,17.833174
iteracion,1,15029.474800,4.572314,18.289814
iteracion,2,15364.974000,4.472476,17.890450
iteracion,3,15120.907400,4.544666,18.179220
iteracion,4,15400.701100,4.462101,17.848947
iteracion,5,15043.429300,4.568073,18.272848
iteracion,6,15381.285300,4.467733,17.871478
iteracion,7,15100.078000,4.550935,18.204296
iteracion,8,15361.909200,4.473368,17.894019
iteracion,9,15047.353900,4.566881,18.268082
iteracion,10,16084.022900,4.272530,17.090643
iteracion,11,16518.137600,4.160244,16.641482
iteracion,12,16584.456800,4.143607,16.574935
iteracion,13,16381.802000,4.194867,16.779979
iteracion,14,16793.609300,4.092002,16.368506
iteracion,15,17793.678400,3.862016,15.448537
iteracion,16,18299.523800,3.755260,15.021500
iteracion,17,16170.740600,4.249618,16.998992
iteracion,18,15676.033300,4.383729,17.535450
iteracion,19,15394.099900,4.464014,17.856601
iteracion,20,15634.391400,4.395405,17.582155
iteracion,21,15271.912900,4.499729,17.999467
iteracion,22,15640.199200,4.393772,17.575626
iteracion,23,15200.091400,4.520991,18.084516
iteracion,24,15612.057700,4.401692,17.607307
iteracion,25,15236.671700,4.510137,18.041099
iteracion,26,15598.078900,4.405637,17.623087
iteracion,27,15195.277700,4.522423,18.090245
iteracion,28,15590.765200,4.407704,17.631354
iteracion,29,15190.932800,4.523717,18.095419
iteracion,30,15604.046200,4.403952,17.616347
iteracion,31,16089.567600,4.271058,17.084753
iteracion,32,16768.189100,4.098205,16.393320
iteracion,33,15388.730600,4.465571,17.862831
iteracion,34,15755.285200,4.361678,17.447243
iteracion,35,15355.401800,4.475264,17.901602
iteracion,36,15726.439400,4.369678,17.479246
iteracion,37,15375.983900,4.469273,17.877639
iteracion,38,15758.666900,4.360742,17.443499
iteracion,39,15411.730300,4.458907,17.836173
iteracion,40,15703.977700,4.375928,17.504246
iteracion,41,15404.403900,4.461028,17.844656
iteracion,42,15724.173600,4.370308,17.481764
iteracion,43,15389.366100,4.465387,17.862093
iteracion,44,15752.284900,4.362508,17.450567
iteracion,45,15459.034600,4.445263,17.781595
iteracion,46,15779.801000,4.354901,17.420137
iteracion,47,15386.968500,4.466083,17.864877
iteracion,48,15813.644500,4.345581,17.382855
iteracion,49,15480.770500,4.439022,17.756629
iteracion,50,15778.807000,4.355176,17.421234
iteracion,51,15483.167400,4.438335,17.753880
iteracion,52,15734.776500,4.367363,17.469984
iteracion,53,15362.934300,4.473070,17.892825
iteracion,54,15781.863300,4.354332,17.417861
iteracion,55,15383.775400,4.467010,17.868585
iteracion,56,15714.615800,4.372966,17.492397
iteracion,57,15347.116600,4.477680,17.911267
iteracion,58,15752.041400,4.362576,17.450836
iteracion,59,15372.906100,4.470168,17.881219
iteracion,60,15740.976900,4.365642,17.463103
iteracion,61,15364.546700,4.472600,17.890947
iteracion,62,18926.624600,3.630836,14.523789
iteracion,63,16171.612900,4.249389,16.998075
iteracion,64,18881.680300,3.639479,14.558360
iteracion,65,18000.392400,3.817665,15.271128
iteracion,66,16471.478500,4.172028,16.688623
iteracion,67,15403.232500,4.461367,17.846014
iteracion,68,15737.849000,4.366510,17.466573
iteracion,69,15374.231700,4.469783,17.879677
iteracion,70,15757.449700,4.361079,17.444847
iteracion,71,15369.830500,4.471063,17.884797
iteracion,72,15741.729500,4.365434,17.462268
iteracion,73,15509.645800,4.430757,17.723570
iteracion,74,15708.092400,4.374782,17.499661
iteracion,75,15381.360500,4.467711,17.871390
iteracion,76,15729.405500,4.368854,17.475949
iteracion,77,15380.441000,4.467978,17.872459
iteracion,78,15771.110100,4.357301,17.429737
iteracion,79,18755.848400,3.663896,14.656031
iteracion,80,18157.843700,3.784562,15.138708
iteracion,81,16193.999700,4.243515,16.974577
iteracion,82,16298.688600,4.216258,16.865547
iteracion,83,15386.878700,4.466109,17.864981
iteracion,84,15778.805300,4.355176,17.421236
iteracion,85,15374.443300,4.469721,17.879431
iteracion,86,15715.429100,4.372739,17.491492
iteracion,87,19670.251700,3.493574,13.974722
iteracion,88,19085.776200,3.600560,14.402678
iteracion,89,18201.403600,3.775504,15.102478
iteracion,90,18855.219800,3.644586,14.578790
iteracion,91,16140.084600,4.257690,17.031280
iteracion,92,15747.971800,4.363703,17.455346
iteracion,93,15375.003900,4.469558,17.878779
iteracion,94,15732.640500,4.367956,17.472356
iteracion,95,15426.442100,4.454655,17.819164
iteracion,96,15744.735900,4.364600,17.458933
iteracion,97,15441.621400,4.450276,17.801647
iteracion,98,16792.889300,4.092177,16.369208
iteracion,99,15593.156600,4.407028,17.628650
iteracion,100,15782.867400,4.354055,17.416753
iteracion,101,15362.766900,4.473118,17.893020
iteracion,102,15735.395000,4.367191,17.469297
iteracion,103,15360.172000,4.473874,17.896043
iteracion,104,15733.215100,4.367796,17.471718
iteracion,105,15378.612500,4.468510,17.874584
iteracion,106,15730.969500,4.368420,17.474212
iteracion,107,15511.992900,4.430087,17.720888
iteracion,108,17047.620400,4.031030,16.124614
iteracion,109,16646.615400,4.128135,16.513044
iteracion,110,15742.194200,4.365305,17.461752
iteracion,111,15359.553000,4.474054,17.896764
iteracion,112,15792.066900,4.351519,17.406607
iteracion,113,15395.329800,4.463657,17.855174
iteracion,114,15730.710700,4.368492,17.474499
iteracion,115,15458.565500,4.445398,17.782135
iteracion,116,15745.039600,4.364516,17.458597
iteracion,117,15712.522000,4.373548,17.494728
iteracion,118,16365.504500,4.199044,16.796689
iteracion,119,15275.296400,4.498733,17.995480
iteracion,120,15541.259500,4.421744,17.687517
iteracion,121,15162.465300,4.532210,18.129393
iteracion,122,15552.669700,4.418500,17.674541
iteracion,123,15198.465200,4.521475,18.086451
iteracion,124,15568.643600,4.413967,17.656406
iteracion,125,15292.710200,4.493610,17.974989
iteracion,126,15596.046400,4.406211,17.625383
iteracion,127,15201.554100,4.520556,18.082776
iteracion,128,15818.518800,4.344242,17.377499
iteracion,129,16880.458400,4.070948,16.284291
iteracion,130,18338.765200,3.747225,14.989357
iteracion,131,16071.328200,4.275905,17.104143
iteracion,132,15793.381500,4.351157,17.405158
iteracion,133,15308.689700,4.488920,17.956226
iteracion,134,15733.919600,4.367601,17.470936
iteracion,135,16267.791700,4.224266,16.897579
iteracion,136,15734.731700,4.367375,17.470034
iteracion,137,15417.644800,4.457197,17.829331
iteracion,138,15790.996600,4.351814,17.407786
iteracion,139,15458.728900,4.445351,17.781947
iteracion,140,15717.743700,4.372096,17.488916
iteracion,141,15391.286500,4.464830,17.859865
iteracion,142,15724.777600,4.370140,17.481093
iteracion,143,15953.965200,4.307360,17.229967
iteracion,144,17480.455600,3.931218,15.725351
iteracion,145,17251.174400,3.983467,15.934353
iteracion,146,17515.337000,3.923389,15.694034
iteracion,147,18165.267100,3.783015,15.132522
iteracion,148,23947.226800,2.869621,11.478836
iteracion,149,21015.537000,3.269937,13.080146
iteracion,150,18887.976800,3.638266,14.553507
iteracion,151,18081.072500,3.800631,15.202986
iteracion,152,16869.419000,4.073613,16.294947
iteracion,153,15452.131700,4.447249,17.789539
iteracion,154,15792.029700,4.351529,17.406648
iteracion,155,15381.104100,4.467786,17.871688
iteracion,156,15799.179600,4.349560,17.398770
iteracion,157,15382.966800,4.467245,17.869524
iteracion,158,15759.037600,4.360639,17.443089
iteracion,159,15519.105600,4.428057,17.712767
iteracion,160,16747.700700,4.103219,16.413375
iteracion,161,16593.113200,4.141446,16.566288
iteracion,162,16871.302800,4.073158,16.293128
iteracion,163,16013.551600,4.291333,17.165854
iteracion,164,15796.666600,4.350252,17.401538
iteracion,165,15399.263000,4.462517,17.850614
iteracion,166,15757.485000,4.361069,17.444808
iteracion,167,15376.970900,4.468987,17.876492
iteracion,168,15719.668000,4.371560,17.486775
iteracion,169,15383.244600,4.467164,17.869201
iteracion,170,15720.815900,4.371241,17.485498
iteracion,171,15415.076400,4.457939,17.832302
iteracion,172,15746.573300,4.364091,17.456896
iteracion,173,15386.124100,4.466328,17.865857
iteracion,174,15713.177500,4.373366,17.493998
iteracion,175,15553.802100,4.418179,17.673254
iteracion,176,15723.230300,4.370570,17.482813
iteracion,177,15396.890500,4.463205,17.853364
iteracion,178,17997.829100,3.818209,15.273303
iteracion,179,16314.816500,4.212090,16.848874
iteracion,180,15748.950300,4.363432,17.454261
iteracion,181,15367.329200,4.471791,17.887708
iteracion,182,15737.330300,4.366654,17.467149
iteracion,183,15349.867000,4.476878,17.908057
iteracion,184,15735.966400,4.367033,17.468663
iteracion,185,15396.841600,4.463219,17.853421
iteracion,186,15728.483200,4.369110,17.476974
iteracion,187,15352.527000,4.476102,17.904954
