tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,125.421570,547.907962,2191.698732
iteracion,1,116.428734,590.227811,2360.983294
iteracion,2,113.877312,603.451870,2413.881145
iteracion,3,114.655968,599.353685,2397.487903
iteracion,4,113.692413,604.433266,2417.806848
iteracion,5,113.666077,604.573315,2418.367059
iteracion,6,113.648643,604.666053,2418.738025
iteracion,7,113.828865,603.708705,2414.908516
iteracion,8,115.123360,596.920355,2387.754286
iteracion,9,114.520866,600.060748,2400.316241
iteracion,10,113.659233,604.609717,2418.512672
iteracion,11,114.242462,601.523072,2406.165714
iteracion,12,114.856705,598.306184,2393.297773
iteracion,13,113.911392,603.271327,2413.158949
iteracion,14,113.605698,604.894633,2419.652370
iteracion,15,113.721024,604.281201,2417.198570
iteracion,16,113.511391,605.397188,2421.662653
iteracion,17,115.206947,596.487263,2386.021867
iteracion,18,113.663651,604.586219,2418.418679
iteracion,19,114.114273,602.198786,2408.868656
iteracion,20,113.629791,604.766373,2419.139316
iteracion,21,115.131004,596.880720,2387.595741
iteracion,22,113.608353,604.880496,2419.595823
iteracion,23,113.674301,604.529573,2418.192087
iteracion,24,113.663521,604.586909,2418.421439
iteracion,25,114.240189,601.535043,2406.213601
iteracion,26,113.968002,602.971670,2411.960287
iteracion,27,114.257439,601.444226,2405.850322
iteracion,28,113.628609,604.772667,2419.164493
iteracion,29,113.671906,604.542313,2418.243050
iteracion,30,115.212387,596.459100,2385.909211
iteracion,31,113.819199,603.759977,2415.113609
iteracion,32,113.884163,603.415567,2413.735927
iteracion,33,113.591873,604.968250,2419.946849
iteracion,34,114.901985,598.070404,2392.354624
iteracion,35,113.997566,602.815297,2411.334774
iteracion,36,113.752380,604.114626,2416.532249
iteracion,37,113.644768,604.686675,2418.820514
iteracion,38,114.254562,601.459367,2405.910887
iteracion,39,113.710976,604.334598,2417.412163
iteracion,40,113.532097,605.286775,2421.220986
iteracion,41,113.666496,604.571083,2418.358132
iteracion,42,113.699936,604.393276,2417.646882
iteracion,43,115.802940,593.417374,2373.741933
iteracion,44,113.760323,604.072450,2416.363538
iteracion,45,113.750496,604.124634,2416.572283
iteracion,46,113.592255,604.966218,2419.938722
iteracion,47,115.123489,596.919683,2387.751596
iteracion,48,113.977180,602.923115,2411.766060
iteracion,49,113.543358,605.226744,2420.980855
iteracion,50,113.857796,603.555306,2414.294900
iteracion,51,114.193535,601.780800,2407.196659
iteracion,52,115.968384,592.570789,2370.355493
iteracion,53,113.769150,604.025580,2416.176055
iteracion,54,113.660797,604.601397,2418.479392
iteracion,55,113.666275,604.572260,2418.362839
iteracion,56,115.254303,596.242179,2385.041499
iteracion,57,113.613503,604.853078,2419.486148
iteracion,58,113.681923,604.489043,2418.029960
iteracion,59,114.100189,602.273118,2409.165992
iteracion,60,114.077950,602.390532,2409.635663
iteracion,61,113.592735,604.963659,2419.928483
